Name	Region	Hemisphere
Fpz	FR	R
Fp1	FR	R
AF7	FR	R
AF3	FR	R
Afz	FR	R
F7	FR	R
F5	FR	R
F3	FR	R
F1	FR	R
Fz	FR	R
FC2	CR	R
FC4	CR	R
FC6	CR	R
C2	CR	R
C4	CR	R
C6	CR	R
CP2	PR	R
CP4	PR	R
CP6	PR	R
P2	PR	R
P4	PR	R
P6	PR	R
P8	PR	R
P9	PR	R
P10	PR	R
PO4	OR	R
PO8	OR	R
PO9	OR	R
O2	OR	R
PO10	OR	R
FT10	TR	R
FT8	TR	R
T8	TR	R
TP8	TR	R
TP10	TR	R
Fp2	FL	L
AF4	FL	L
AF8	FL	L
F2	FL	L
F4	FL	L
F6	FL	L
F8	FL	L
FC5	CL	L
FC3	CL	L
FC1	CL	L
FCz	CL	L
C5	CL	L
C3	CL	L
C1	CL	L
Cz	CL	L
CP5	PL	L
CP3	PL	L
CP1	PL	L
CPz	PL	L
P7	PL	L
P5	PL	L
P3	PL	L
P1	PL	L
Pz	PL	L
PO7	OL	L
PO3	OL	L
POz	OL	L
O1	OL	L
Oz	OL	L
Iz	OL	L
FT9	TL	L
FT7	TL	L
T7	TL	L
TP7	TL	L
TP9	TL	L
